Country_Name,Nombre_Pais,Cod_Na_UIS,Context_Indicator_Name,Nombre_Indicador_Contexto,EMAC_IND_CONT_COD,Year,Value
Colombia,Colombia,CO,"Primary education, pupils","Primaria, alumnos",35,2005,5298257
Colombia,Colombia,CO,"Repeaters, primary, total (% of total enrollment)","Repetidores, primaria, total (% de la matrícula total)",36,2005,4.10633
Colombia,Colombia,CO,Rural population,Población rural,37,2005,10122893
Colombia,Colombia,CO,"School enrollment, preprimary (% gross)","Matrícula escolar, preprimaria (% bruto)",38,2005,
Colombia,Colombia,CO,"School enrollment, primary (% gross)","Matrícula escolar, primaria (% bruto)",39,2005,121.526619
Colombia,Colombia,CO,"School enrollment, primary (% net)","Matrícula escolar, primaria (% neto)",40,2005,94.1217
Colombia,Colombia,CO,"School enrollment, secondary (% gross)","Matrícula, secundaria (% bruto)",41,2005,82.86219788
Colombia,Colombia,CO,"School enrollment, secondary (% net)","Matrícula escolar, secundaria (% neto)",42,2005,63.648
Colombia,Colombia,CO,"Secondary education, pupils","Educación secundaria, alumnos",43,2005,4297228
Colombia,Colombia,CO,Urban population,Población urbana,44,2005,32098047
Costa Rica,Costa Rica,CR,"Adjusted net enrollment rate, primary (% of primary school age children)","Tasa neta de matrícula ajustada, primaria (% de niños en edad de asistir a la escuela primaria)",1,2005,
Costa Rica,Costa Rica,CR,Adolescents out of school (% of lower secondary school age),Adolescentes fuera de la escuela (% de los adolescentes en edad de asistir a la secundaria baja),2,2005,
Costa Rica,Costa Rica,CR,Children out of school (% of primary school age),Niños fuera de la escuela (% de los niños en edad de asistir a la primaria),3,2005,
Costa Rica,Costa Rica,CR,"Children out of school, primary","Niños fuera de la escuela, primaria",4,2005,
Costa Rica,Costa Rica,CR,"Compulsory education, duration (years)","Educación obligatoria, duración (años)",5,2005,11
Costa Rica,Costa Rica,CR,"Current education expenditure, total (% of total expenditure in public institutions)","Gasto corriente en educación, total (% del gasto total en instituciones públicas)",6,2005,
Costa Rica,Costa Rica,CR,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Logro educativo, al menos el primer ciclo de secundaria completado, población 25+, total (%) (acumulado)",7,2005,
Costa Rica,Costa Rica,CR,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","Logro educativo, al menos primaria completada, población 25+, total (%) (acumulado)",8,2005,
Costa Rica,Costa Rica,CR,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","Logro educativo, al menos secundaria alta completada, población 25+, total (%) (acumulado)",9,2005,
Costa Rica,Costa Rica,CR,Expenditure on primary education (% of government expenditure on education),Gasto en educación primaria (% del gasto público en educación),10,2005,
Costa Rica,Costa Rica,CR,Expenditure on secondary education (% of government expenditure on education),Gasto en educación secundaria (% del gasto público en educación),11,2005,
Costa Rica,Costa Rica,CR,GDP (current US$),PIB (US$ corrientes),12,2005,20040642477
Costa Rica,Costa Rica,CR,GDP per capita (current US$),PIB per cápita (US$ corrientes),13,2005,4643.45857
Costa Rica,Costa Rica,CR,Gini index,Índice Gini,14,2005,47.5
Costa Rica,Costa Rica,CR,"Government expenditure on education, total (% of GDP)","Gasto público en educación, total (% del PIB)",15,2005,
Costa Rica,Costa Rica,CR,"Government expenditure on education, total (% of government expenditure)","Gasto público en educación, total (% del gasto público)",16,2005,
Costa Rica,Costa Rica,CR,"Government expenditure per student, primary (% of GDP per capita)","Gasto público por alumno, primaria (% del PIB per cápita)",17,2005,
Costa Rica,Costa Rica,CR,"Government expenditure per student, secondary (% of GDP per capita)","Gasto público por estudiante, secundaria (% del PIB per cápita)",18,2005,
Costa Rica,Costa Rica,CR,International migrant stock (% of population),Población de migrantes internacionales (% de la población),19,2005,8.43192651
Costa Rica,Costa Rica,CR,"International migrant stock, total","Población de migrantes internacionales, total",20,2005,358175
Costa Rica,Costa Rica,CR,"Literacy rate, adult total (% of people ages 15 and above)","Tasa de alfabetización, total de adultos (% de personas de 15 años o más)",21,2005,
Costa Rica,Costa Rica,CR,"Literacy rate, youth total (% of people ages 15-24)","Tasa de alfabetización, total de jóvenes (% de personas de 15 a 24 años)",22,2005,
Costa Rica,Costa Rica,CR,Net migration,Migración neta,23,2005,7022
Costa Rica,Costa Rica,CR,"Over-age students, primary (% of enrollment)","Alumnos con sobre-edad, primaria (% de matrícula)",24,2005,
Costa Rica,Costa Rica,CR,"Population ages 0-14, female","Población de 0 a 14 años, mujeres",25,2005,578421
Costa Rica,Costa Rica,CR,"Population ages 0-14, male","Población de 0 a 14 años, hombres",26,2005,605748
Costa Rica,Costa Rica,CR,"Population ages 15-64, female","Población de 15 a 64 años, mujeres",27,2005,1416170
Costa Rica,Costa Rica,CR,"Population ages 15-64, male","Población de 15 a 64 años, hombres",28,2005,1431706
Costa Rica,Costa Rica,CR,"Population ages 65 and above, female","Población de 65 años de edad o más, mujeres",29,2005,151229
Costa Rica,Costa Rica,CR,"Population ages 65 and above, male","Población de 65 años de edad o más, hombres",30,2005,132614
Costa Rica,Costa Rica,CR,"Population, female","Población, mujeres",31,2005,2145820
Costa Rica,Costa Rica,CR,"Population, male","Población, hombres",32,2005,2170068
Costa Rica,Costa Rica,CR,"Population, total","Población, total",33,2005,4315887
Costa Rica,Costa Rica,CR,Poverty headcount ratio at national poverty lines (% of population),"Tasa de incidencia de la pobreza, sobre la base de la línea de pobreza nacional (% de la población)",34,2005,21.2
Costa Rica,Costa Rica,CR,"Primary education, pupils","Primaria, alumnos",35,2005,542087
Costa Rica,Costa Rica,CR,"Repeaters, primary, total (% of total enrollment)","Repetidores, primaria, total (% de la matrícula total)",36,2005,7.18925
Costa Rica,Costa Rica,CR,Rural population,Población rural,37,2005,1481558
Costa Rica,Costa Rica,CR,"School enrollment, preprimary (% gross)","Matrícula escolar, preprimaria (% bruto)",38,2005,71.75415039
Costa Rica,Costa Rica,CR,"School enrollment, primary (% gross)","Matrícula escolar, primaria (% bruto)",39,2005,111.8618469
Costa Rica,Costa Rica,CR,"School enrollment, primary (% net)","Matrícula escolar, primaria (% neto)",40,2005,
Costa Rica,Costa Rica,CR,"School enrollment, secondary (% gross)","Matrícula, secundaria (% bruto)",41,2005,81.59253693
Costa Rica,Costa Rica,CR,"School enrollment, secondary (% net)","Matrícula escolar, secundaria (% neto)",42,2005,
Costa Rica,Costa Rica,CR,"Secondary education, pupils","Educación secundaria, alumnos",43,2005,347244
Costa Rica,Costa Rica,CR,Urban population,Población urbana,44,2005,2834329
Cuba,Cuba,CU,"Adjusted net enrollment rate, primary (% of primary school age children)","Tasa neta de matrícula ajustada, primaria (% de niños en edad de asistir a la escuela primaria)",1,2005,97.15545
Cuba,Cuba,CU,Adolescents out of school (% of lower secondary school age),Adolescentes fuera de la escuela (% de los adolescentes en edad de asistir a la secundaria baja),2,2005,0.379150003
Cuba,Cuba,CU,Children out of school (% of primary school age),Niños fuera de la escuela (% de los niños en edad de asistir a la primaria),3,2005,2.817889929
Cuba,Cuba,CU,"Children out of school, primary","Niños fuera de la escuela, primaria",4,2005,24944
Cuba,Cuba,CU,"Compulsory education, duration (years)","Educación obligatoria, duración (años)",5,2005,9
Cuba,Cuba,CU,"Current education expenditure, total (% of total expenditure in public institutions)","Gasto corriente en educación, total (% del gasto total en instituciones públicas)",6,2005,86.8236084
Cuba,Cuba,CU,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Logro educativo, al menos el primer ciclo de secundaria completado, población 25+, total (%) (acumulado)",7,2005,
Cuba,Cuba,CU,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","Logro educativo, al menos primaria completada, población 25+, total (%) (acumulado)",8,2005,
Cuba,Cuba,CU,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","Logro educativo, al menos secundaria alta completada, población 25+, total (%) (acumulado)",9,2005,
Cuba,Cuba,CU,Expenditure on primary education (% of government expenditure on education),Gasto en educación primaria (% del gasto público en educación),10,2005,30.31329
Cuba,Cuba,CU,Expenditure on secondary education (% of government expenditure on education),Gasto en educación secundaria (% del gasto público en educación),11,2005,37.66851
Cuba,Cuba,CU,GDP (current US$),PIB (US$ corrientes),12,2005,42643836100
Cuba,Cuba,CU,GDP per capita (current US$),PIB per cápita (US$ corrientes),13,2005,3791.873006
Cuba,Cuba,CU,Gini index,Índice Gini,14,2005,
Cuba,Cuba,CU,"Government expenditure on education, total (% of GDP)","Gasto público en educación, total (% del PIB)",15,2005,10.55778027
Cuba,Cuba,CU,"Government expenditure on education, total (% of government expenditure)","Gasto público en educación, total (% del gasto público)",16,2005,
Cuba,Cuba,CU,"Government expenditure per student, primary (% of GDP per capita)","Gasto público por alumno, primaria (% del PIB per cápita)",17,2005,40.26802
Cuba,Cuba,CU,"Government expenditure per student, secondary (% of GDP per capita)","Gasto público por estudiante, secundaria (% del PIB per cápita)",18,2005,47.773
Cuba,Cuba,CU,International migrant stock (% of population),Población de migrantes internacionales (% de la población),19,2005,0.151167049
Cuba,Cuba,CU,"International migrant stock, total","Población de migrantes internacionales, total",20,2005,17023
Cuba,Cuba,CU,"Literacy rate, adult total (% of people ages 15 and above)","Tasa de alfabetización, total de adultos (% de personas de 15 años o más)",21,2005,
Cuba,Cuba,CU,"Literacy rate, youth total (% of people ages 15-24)","Tasa de alfabetización, total de jóvenes (% de personas de 15 a 24 años)",22,2005,
Cuba,Cuba,CU,Net migration,Migración neta,23,2005,-11973
Cuba,Cuba,CU,"Over-age students, primary (% of enrollment)","Alumnos con sobre-edad, primaria (% de matrícula)",24,2005,4.37352
Cuba,Cuba,CU,"Population ages 0-14, female","Población de 0 a 14 años, mujeres",25,2005,1054293
Cuba,Cuba,CU,"Population ages 0-14, male","Población de 0 a 14 años, hombres",26,2005,1117357
Cuba,Cuba,CU,"Population ages 15-64, female","Población de 15 a 64 años, mujeres",27,2005,3904214
Cuba,Cuba,CU,"Population ages 15-64, male","Población de 15 a 64 años, hombres",28,2005,3917662
Cuba,Cuba,CU,"Population ages 65 and above, female","Población de 65 años de edad o más, mujeres",29,2005,662490
Cuba,Cuba,CU,"Population ages 65 and above, male","Población de 65 años de edad o más, hombres",30,2005,590100
Cuba,Cuba,CU,"Population, female","Población, mujeres",31,2005,5620997
Cuba,Cuba,CU,"Population, male","Población, hombres",32,2005,5625118
Cuba,Cuba,CU,"Population, total","Población, total",33,2005,11246114
Cuba,Cuba,CU,Poverty headcount ratio at national poverty lines (% of population),"Tasa de incidencia de la pobreza, sobre la base de la línea de pobreza nacional (% de la población)",34,2005,
Cuba,Cuba,CU,"Primary education, pupils","Primaria, alumnos",35,2005,895045
Cuba,Cuba,CU,"Repeaters, primary, total (% of total enrollment)","Repetidores, primaria, total (% de la matrícula total)",36,2005,0.51729
Cuba,Cuba,CU,Rural population,Población rural,37,2005,2683998
Cuba,Cuba,CU,"School enrollment, preprimary (% gross)","Matrícula escolar, preprimaria (% bruto)",38,2005,105.590683
Cuba,Cuba,CU,"School enrollment, primary (% gross)","Matrícula escolar, primaria (% bruto)",39,2005,101.1121826
Cuba,Cuba,CU,"School enrollment, primary (% net)","Matrícula escolar, primaria (% neto)",40,2005,96.63556
Cuba,Cuba,CU,"School enrollment, secondary (% gross)","Matrícula, secundaria (% bruto)",41,2005,93.05297852
Cuba,Cuba,CU,"School enrollment, secondary (% net)","Matrícula escolar, secundaria (% neto)",42,2005,86.64633
Cuba,Cuba,CU,"Secondary education, pupils","Educación secundaria, alumnos",43,2005,937493
Cuba,Cuba,CU,Urban population,Población urbana,44,2005,8562116
Curaçao,Curazao,CW,"Adjusted net enrollment rate, primary (% of primary school age children)","Tasa neta de matrícula ajustada, primaria (% de niños en edad de asistir a la escuela primaria)",1,2005,
Curaçao,Curazao,CW,Adolescents out of school (% of lower secondary school age),Adolescentes fuera de la escuela (% de los adolescentes en edad de asistir a la secundaria baja),2,2005,
Curaçao,Curazao,CW,Children out of school (% of primary school age),Niños fuera de la escuela (% de los niños en edad de asistir a la primaria),3,2005,
Curaçao,Curazao,CW,"Children out of school, primary","Niños fuera de la escuela, primaria",4,2005,
Curaçao,Curazao,CW,"Compulsory education, duration (years)","Educación obligatoria, duración (años)",5,2005,9
Curaçao,Curazao,CW,"Current education expenditure, total (% of total expenditure in public institutions)","Gasto corriente en educación, total (% del gasto total en instituciones públicas)",6,2005,
Curaçao,Curazao,CW,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Logro educativo, al menos el primer ciclo de secundaria completado, población 25+, total (%) (acumulado)",7,2005,
Curaçao,Curazao,CW,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","Logro educativo, al menos primaria completada, población 25+, total (%) (acumulado)",8,2005,
Curaçao,Curazao,CW,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","Logro educativo, al menos secundaria alta completada, población 25+, total (%) (acumulado)",9,2005,
Curaçao,Curazao,CW,Expenditure on primary education (% of government expenditure on education),Gasto en educación primaria (% del gasto público en educación),10,2005,
Curaçao,Curazao,CW,Expenditure on secondary education (% of government expenditure on education),Gasto en educación secundaria (% del gasto público en educación),11,2005,
Curaçao,Curazao,CW,GDP (current US$),PIB (US$ corrientes),12,2005,
Curaçao,Curazao,CW,GDP per capita (current US$),PIB per cápita (US$ corrientes),13,2005,
Curaçao,Curazao,CW,Gini index,Índice Gini,14,2005,
Curaçao,Curazao,CW,"Government expenditure on education, total (% of GDP)","Gasto público en educación, total (% del PIB)",15,2005,
Curaçao,Curazao,CW,"Government expenditure on education, total (% of government expenditure)","Gasto público en educación, total (% del gasto público)",16,2005,
Curaçao,Curazao,CW,"Government expenditure per student, primary (% of GDP per capita)","Gasto público por alumno, primaria (% del PIB per cápita)",17,2005,
Curaçao,Curazao,CW,"Government expenditure per student, secondary (% of GDP per capita)","Gasto público por estudiante, secundaria (% del PIB per cápita)",18,2005,
Curaçao,Curazao,CW,International migrant stock (% of population),Población de migrantes internacionales (% de la población),19,2005,
Curaçao,Curazao,CW,"International migrant stock, total","Población de migrantes internacionales, total",20,2005,
Curaçao,Curazao,CW,"Literacy rate, adult total (% of people ages 15 and above)","Tasa de alfabetización, total de adultos (% de personas de 15 años o más)",21,2005,
Curaçao,Curazao,CW,"Literacy rate, youth total (% of people ages 15-24)","Tasa de alfabetización, total de jóvenes (% de personas de 15 a 24 años)",22,2005,
Curaçao,Curazao,CW,Net migration,Migración neta,23,2005,1460
Curaçao,Curazao,CW,"Over-age students, primary (% of enrollment)","Alumnos con sobre-edad, primaria (% de matrícula)",24,2005,
Curaçao,Curazao,CW,"Population ages 0-14, female","Población de 0 a 14 años, mujeres",25,2005,15946
Curaçao,Curazao,CW,"Population ages 0-14, male","Población de 0 a 14 años, hombres",26,2005,16482
Curaçao,Curazao,CW,"Population ages 15-64, female","Población de 15 a 64 años, mujeres",27,2005,49950
Curaçao,Curazao,CW,"Population ages 15-64, male","Población de 15 a 64 años, hombres",28,2005,41191
Curaçao,Curazao,CW,"Population ages 65 and above, female","Población de 65 años de edad o más, mujeres",29,2005,8211
Curaçao,Curazao,CW,"Population ages 65 and above, male","Población de 65 años de edad o más, hombres",30,2005,5877
Curaçao,Curazao,CW,"Population, female","Población, mujeres",31,2005,74107
Curaçao,Curazao,CW,"Population, male","Población, hombres",32,2005,63550
Curaçao,Curazao,CW,"Population, total","Población, total",33,2005,137658
Curaçao,Curazao,CW,Poverty headcount ratio at national poverty lines (% of population),"Tasa de incidencia de la pobreza, sobre la base de la línea de pobreza nacional (% de la población)",34,2005,
Curaçao,Curazao,CW,"Primary education, pupils","Primaria, alumnos",35,2005,
Curaçao,Curazao,CW,"Repeaters, primary, total (% of total enrollment)","Repetidores, primaria, total (% de la matrícula total)",36,2005,
Curaçao,Curazao,CW,Rural population,Población rural,37,2005,13031
Curaçao,Curazao,CW,"School enrollment, preprimary (% gross)","Matrícula escolar, preprimaria (% bruto)",38,2005,
Curaçao,Curazao,CW,"School enrollment, primary (% gross)","Matrícula escolar, primaria (% bruto)",39,2005,
Curaçao,Curazao,CW,"School enrollment, primary (% net)","Matrícula escolar, primaria (% neto)",40,2005,
Curaçao,Curazao,CW,"School enrollment, secondary (% gross)","Matrícula, secundaria (% bruto)",41,2005,
Curaçao,Curazao,CW,"School enrollment, secondary (% net)","Matrícula escolar, secundaria (% neto)",42,2005,
Curaçao,Curazao,CW,"Secondary education, pupils","Educación secundaria, alumnos",43,2005,
Curaçao,Curazao,CW,Urban population,Población urbana,44,2005,124627
Dominican Republic,República Dominicana,DO,"Adjusted net enrollment rate, primary (% of primary school age children)","Tasa neta de matrícula ajustada, primaria (% de niños en edad de asistir a la escuela primaria)",1,2005,86.01771
Dominican Republic,República Dominicana,DO,Adolescents out of school (% of lower secondary school age),Adolescentes fuera de la escuela (% de los adolescentes en edad de asistir a la secundaria baja),2,2005,5.795229912
Dominican Republic,República Dominicana,DO,Children out of school (% of primary school age),Niños fuera de la escuela (% de los niños en edad de asistir a la primaria),3,2005,13.16921997
Dominican Republic,República Dominicana,DO,"Children out of school, primary","Niños fuera de la escuela, primaria",4,2005,156721
Dominican Republic,República Dominicana,DO,"Compulsory education, duration (years)","Educación obligatoria, duración (años)",5,2005,9
Dominican Republic,República Dominicana,DO,"Current education expenditure, total (% of total expenditure in public institutions)","Gasto corriente en educación, total (% del gasto total en instituciones públicas)",6,2005,
Dominican Republic,República Dominicana,DO,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Logro educativo, al menos el primer ciclo de secundaria completado, población 25+, total (%) (acumulado)",7,2005,
Dominican Republic,República Dominicana,DO,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","Logro educativo, al menos primaria completada, población 25+, total (%) (acumulado)",8,2005,
Dominican Republic,República Dominicana,DO,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","Logro educativo, al menos secundaria alta completada, población 25+, total (%) (acumulado)",9,2005,
Dominican Republic,República Dominicana,DO,Expenditure on primary education (% of government expenditure on education),Gasto en educación primaria (% del gasto público en educación),10,2005,
Dominican Republic,República Dominicana,DO,Expenditure on secondary education (% of government expenditure on education),Gasto en educación secundaria (% del gasto público en educación),11,2005,
Dominican Republic,República Dominicana,DO,GDP (current US$),PIB (US$ corrientes),12,2005,35777560475
Dominican Republic,República Dominicana,DO,GDP per capita (current US$),PIB per cápita (US$ corrientes),13,2005,3903.815184
Dominican Republic,República Dominicana,DO,Gini index,Índice Gini,14,2005,50
Dominican Republic,República Dominicana,DO,"Government expenditure on education, total (% of GDP)","Gasto público en educación, total (% del PIB)",15,2005,
Dominican Republic,República Dominicana,DO,"Government expenditure on education, total (% of government expenditure)","Gasto público en educación, total (% del gasto público)",16,2005,
Dominican Republic,República Dominicana,DO,"Government expenditure per student, primary (% of GDP per capita)","Gasto público por alumno, primaria (% del PIB per cápita)",17,2005,6.43366
Dominican Republic,República Dominicana,DO,"Government expenditure per student, secondary (% of GDP per capita)","Gasto público por estudiante, secundaria (% del PIB per cápita)",18,2005,4.59898
Dominican Republic,República Dominicana,DO,International migrant stock (% of population),Población de migrantes internacionales (% de la población),19,2005,4.070347543
Dominican Republic,República Dominicana,DO,"International migrant stock, total","Población de migrantes internacionales, total",20,2005,376001
Dominican Republic,República Dominicana,DO,"Literacy rate, adult total (% of people ages 15 and above)","Tasa de alfabetización, total de adultos (% de personas de 15 años o más)",21,2005,
Dominican Republic,República Dominicana,DO,"Literacy rate, youth total (% of people ages 15-24)","Tasa de alfabetización, total de jóvenes (% de personas de 15 a 24 años)",22,2005,
Dominican Republic,República Dominicana,DO,Net migration,Migración neta,23,2005,-30883
Dominican Republic,República Dominicana,DO,"Over-age students, primary (% of enrollment)","Alumnos con sobre-edad, primaria (% de matrícula)",24,2005,20.65362
Dominican Republic,República Dominicana,DO,"Population ages 0-14, female","Población de 0 a 14 años, mujeres",25,2005,1478447
Dominican Republic,República Dominicana,DO,"Population ages 0-14, male","Población de 0 a 14 años, hombres",26,2005,1539455
Dominican Republic,República Dominicana,DO,"Population ages 15-64, female","Población de 15 a 64 años, mujeres",27,2005,2782439
Dominican Republic,República Dominicana,DO,"Population ages 15-64, male","Población de 15 a 64 años, hombres",28,2005,2880092
Dominican Republic,República Dominicana,DO,"Population ages 65 and above, female","Población de 65 años de edad o más, mujeres",29,2005,256376
Dominican Republic,República Dominicana,DO,"Population ages 65 and above, male","Población de 65 años de edad o más, hombres",30,2005,227959
Dominican Republic,República Dominicana,DO,"Population, female","Población, mujeres",31,2005,4517262
Dominican Republic,República Dominicana,DO,"Population, male","Población, hombres",32,2005,4647506
Dominican Republic,República Dominicana,DO,"Population, total","Población, total",33,2005,9164768
Dominican Republic,República Dominicana,DO,Poverty headcount ratio at national poverty lines (% of population),"Tasa de incidencia de la pobreza, sobre la base de la línea de pobreza nacional (% de la población)",34,2005,
Dominican Republic,República Dominicana,DO,"Primary education, pupils","Primaria, alumnos",35,2005,1289745
Dominican Republic,República Dominicana,DO,"Repeaters, primary, total (% of total enrollment)","Repetidores, primaria, total (% de la matrícula total)",36,2005,8.13719
Dominican Republic,República Dominicana,DO,Rural population,Población rural,37,2005,2990464
Dominican Republic,República Dominicana,DO,"School enrollment, preprimary (% gross)","Matrícula escolar, preprimaria (% bruto)",38,2005,32.87670135
Dominican Republic,República Dominicana,DO,"School enrollment, primary (% gross)","Matrícula escolar, primaria (% bruto)",39,2005,108.3769226
Dominican Republic,República Dominicana,DO,"School enrollment, primary (% net)","Matrícula escolar, primaria (% neto)",40,2005,84.25703
Dominican Republic,República Dominicana,DO,"School enrollment, secondary (% gross)","Matrícula, secundaria (% bruto)",41,2005,71.14797974
Dominican Republic,República Dominicana,DO,"School enrollment, secondary (% net)","Matrícula escolar, secundaria (% neto)",42,2005,53.29682
Dominican Republic,República Dominicana,DO,"Secondary education, pupils","Educación secundaria, alumnos",43,2005,808352
Dominican Republic,República Dominicana,DO,Urban population,Población urbana,44,2005,6174304
Ecuador,Ecuador (el),EC,"Adjusted net enrollment rate, primary (% of primary school age children)","Tasa neta de matrícula ajustada, primaria (% de niños en edad de asistir a la escuela primaria)",1,2005,97.90248
Ecuador,Ecuador (el),EC,Adolescents out of school (% of lower secondary school age),Adolescentes fuera de la escuela (% de los adolescentes en edad de asistir a la secundaria baja),2,2005,24.13595009
Ecuador,Ecuador (el),EC,Children out of school (% of primary school age),Niños fuera de la escuela (% de los niños en edad de asistir a la primaria),3,2005,2.097520113
Ecuador,Ecuador (el),EC,"Children out of school, primary","Niños fuera de la escuela, primaria",4,2005,38135
Ecuador,Ecuador (el),EC,"Compulsory education, duration (years)","Educación obligatoria, duración (años)",5,2005,10
Ecuador,Ecuador (el),EC,"Current education expenditure, total (% of total expenditure in public institutions)","Gasto corriente en educación, total (% del gasto total en instituciones públicas)",6,2005,
Ecuador,Ecuador (el),EC,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Logro educativo, al menos el primer ciclo de secundaria completado, población 25+, total (%) (acumulado)",7,2005,
Ecuador,Ecuador (el),EC,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","Logro educativo, al menos primaria completada, población 25+, total (%) (acumulado)",8,2005,
Ecuador,Ecuador (el),EC,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","Logro educativo, al menos secundaria alta completada, población 25+, total (%) (acumulado)",9,2005,
Ecuador,Ecuador (el),EC,Expenditure on primary education (% of government expenditure on education),Gasto en educación primaria (% del gasto público en educación),10,2005,
Ecuador,Ecuador (el),EC,Expenditure on secondary education (% of government expenditure on education),Gasto en educación secundaria (% del gasto público en educación),11,2005,
Ecuador,Ecuador (el),EC,GDP (current US$),PIB (US$ corrientes),12,2005,41507085000
Ecuador,Ecuador (el),EC,GDP per capita (current US$),PIB per cápita (US$ corrientes),13,2005,3014.310009
Ecuador,Ecuador (el),EC,Gini index,Índice Gini,14,2005,53.1
Ecuador,Ecuador (el),EC,"Government expenditure on education, total (% of GDP)","Gasto público en educación, total (% del PIB)",15,2005,
Ecuador,Ecuador (el),EC,"Government expenditure on education, total (% of government expenditure)","Gasto público en educación, total (% del gasto público)",16,2005,
Ecuador,Ecuador (el),EC,"Government expenditure per student, primary (% of GDP per capita)","Gasto público por alumno, primaria (% del PIB per cápita)",17,2005,
Ecuador,Ecuador (el),EC,"Government expenditure per student, secondary (% of GDP per capita)","Gasto público por estudiante, secundaria (% del PIB per cápita)",18,2005,
Ecuador,Ecuador (el),EC,International migrant stock (% of population),Población de migrantes internacionales (% de la población),19,2005,1.364403601
Ecuador,Ecuador (el),EC,"International migrant stock, total","Población de migrantes internacionales, total",20,2005,187404
Ecuador,Ecuador (el),EC,"Literacy rate, adult total (% of people ages 15 and above)","Tasa de alfabetización, total de adultos (% de personas de 15 años o más)",21,2005,
Ecuador,Ecuador (el),EC,"Literacy rate, youth total (% of people ages 15-24)","Tasa de alfabetización, total de jóvenes (% de personas de 15 a 24 años)",22,2005,
Ecuador,Ecuador (el),EC,Net migration,Migración neta,23,2005,-16816
Ecuador,Ecuador (el),EC,"Over-age students, primary (% of enrollment)","Alumnos con sobre-edad, primaria (% de matrícula)",24,2005,10.07407
Ecuador,Ecuador (el),EC,"Population ages 0-14, female","Población de 0 a 14 años, mujeres",25,2005,2247565
Ecuador,Ecuador (el),EC,"Population ages 0-14, male","Población de 0 a 14 años, hombres",26,2005,2339049
Ecuador,Ecuador (el),EC,"Population ages 15-64, female","Población de 15 a 64 años, mujeres",27,2005,4227978
Ecuador,Ecuador (el),EC,"Population ages 15-64, male","Población de 15 a 64 años, hombres",28,2005,4226869
Ecuador,Ecuador (el),EC,"Population ages 65 and above, female","Población de 65 años de edad o más, mujeres",29,2005,400967
Ecuador,Ecuador (el),EC,"Population ages 65 and above, male","Población de 65 años de edad o más, hombres",30,2005,327583
Ecuador,Ecuador (el),EC,"Population, female","Población, mujeres",31,2005,6876511
Ecuador,Ecuador (el),EC,"Population, male","Población, hombres",32,2005,6893501
Ecuador,Ecuador (el),EC,"Population, total","Población, total",33,2005,13770012
Ecuador,Ecuador (el),EC,Poverty headcount ratio at national poverty lines (% of population),"Tasa de incidencia de la pobreza, sobre la base de la línea de pobreza nacional (% de la población)",34,2005,42.2
Ecuador,Ecuador (el),EC,"Primary education, pupils","Primaria, alumnos",35,2005,1997624
Ecuador,Ecuador (el),EC,"Repeaters, primary, total (% of total enrollment)","Repetidores, primaria, total (% de la matrícula total)",36,2005,1.6447
Ecuador,Ecuador (el),EC,Rural population,Población rural,37,2005,5272400
Ecuador,Ecuador (el),EC,"School enrollment, preprimary (% gross)","Matrícula escolar, preprimaria (% bruto)",38,2005,73.79470062
Ecuador,Ecuador (el),EC,"School enrollment, primary (% gross)","Matrícula escolar, primaria (% bruto)",39,2005,109.874321
Ecuador,Ecuador (el),EC,"School enrollment, primary (% net)","Matrícula escolar, primaria (% neto)",40,2005,95.95781
Ecuador,Ecuador (el),EC,"School enrollment, secondary (% gross)","Matrícula, secundaria (% bruto)",41,2005,62.00888062
Ecuador,Ecuador (el),EC,"School enrollment, secondary (% net)","Matrícula escolar, secundaria (% neto)",42,2005,53.08892
Ecuador,Ecuador (el),EC,"Secondary education, pupils","Educación secundaria, alumnos",43,2005,1053175
Ecuador,Ecuador (el),EC,Urban population,Población urbana,44,2005,8497612
El Salvador,El Salvador,SV,"Adjusted net enrollment rate, primary (% of primary school age children)","Tasa neta de matrícula ajustada, primaria (% de niños en edad de asistir a la escuela primaria)",1,2005,96.56531
El Salvador,El Salvador,SV,Adolescents out of school (% of lower secondary school age),Adolescentes fuera de la escuela (% de los adolescentes en edad de asistir a la secundaria baja),2,2005,4.386750221
El Salvador,El Salvador,SV,Children out of school (% of primary school age),Niños fuera de la escuela (% de los niños en edad de asistir a la primaria),3,2005,
El Salvador,El Salvador,SV,"Children out of school, primary","Niños fuera de la escuela, primaria",4,2005,
